language,protocol,scenario,response_time_ms,response_size_bytes,status
Python,REST,Complex_Fetch,3.090879000410496,978,200
Python,GraphQL,Complex_Fetch,59.77322499984439,1798,200
JS,REST,Simple_Fetch,2.380739000727772,2587,200
JS,GraphQL,Simple_Fetch,1.7120969996540225,74,200
Python,REST,Simple_Fetch,3.2065659997897455,2588,200
Python,GraphQL,Simple_Fetch,2.743408999776875,83,200
JS,REST,Complex_Fetch,2.597866000542126,2587,200
JS,GraphQL,Complex_Fetch,2.1997300000293762,2106,200
Python,REST,Complex_Fetch,3.0488709999190178,2588,200
Python,GraphQL,Complex_Fetch,60.60696600070514,2151,200
JS,REST,Simple_Fetch,2.9526999996960512,2295,200
JS,GraphQL,Simple_Fetch,1.7071980000764597,74,200
Python,REST,Simple_Fetch,3.182370999638806,2296,200
Python,GraphQL,Simple_Fetch,2.8507400002126815,68,200
JS,REST,Complex_Fetch,2.804693000143743,2295,200
JS,GraphQL,Complex_Fetch,2.0321359997979016,1875,200
Python,REST,Complex_Fetch,3.15141200007929,2296,200
Python,GraphQL,Complex_Fetch,58.40182599968102,1279,200
JS,REST,Simple_Fetch,2.50976100051048,2064,200
JS,GraphQL,Simple_Fetch,1.307208000071114,77,200
Python,REST,Simple_Fetch,3.174505999595567,2065,200
Python,GraphQL,Simple_Fetch,2.5940689993149135,78,200
JS,REST,Complex_Fetch,2.509770999495231,2064,200
JS,GraphQL,Complex_Fetch,1.8828270003723446,1702,200
Python,REST,Complex_Fetch,2.940337999461917,2065,200
Python,GraphQL,Complex_Fetch,60.148327000206336,2376,200
JS,REST,Simple_Fetch,2.876227000342624,1184,200
JS,GraphQL,Simple_Fetch,1.5323899997383705,78,200
Python,REST,Simple_Fetch,3.016640000168991,1185,200
Python,GraphQL,Simple_Fetch,2.618784999867785,71,200
JS,REST,Complex_Fetch,2.575063000222144,1184,200
JS,GraphQL,Complex_Fetch,1.942316999702598,939,200
Python,REST,Complex_Fetch,3.114353000455594,1185,200
Python,GraphQL,Complex_Fetch,60.55291400025453,668,200
JS,REST,Simple_Fetch,3.0664239993711817,971,200
JS,GraphQL,Simple_Fetch,3.216444000827323,74,200
Python,REST,Simple_Fetch,3.0178219994922983,972,200
Python,GraphQL,Simple_Fetch,2.9892089996792492,79,200
JS,REST,Complex_Fetch,2.757835000011255,971,200
JS,GraphQL,Complex_Fetch,2.8308920000199578,766,200
Python,REST,Complex_Fetch,3.411139000490948,972,200
Python,GraphQL,Complex_Fetch,59.104521999870485,472,200
JS,REST,Simple_Fetch,2.6521479994698893,1942,200
JS,GraphQL,Simple_Fetch,1.427324000360386,73,200
Python,REST,Simple_Fetch,3.6354499998196843,1943,200
Python,GraphQL,Simple_Fetch,3.242202999899746,72,200
JS,REST,Complex_Fetch,2.065468999717268,1942,200
JS,GraphQL,Complex_Fetch,1.799189999474038,1564,200
Python,REST,Complex_Fetch,3.6206320000928827,1943,200
Python,GraphQL,Complex_Fetch,60.676587000671134,2144,200
JS,REST,Simple_Fetch,2.780176999294781,683,200
JS,GraphQL,Simple_Fetch,1.5863010003158706,77,200
Python,REST,Simple_Fetch,3.2004140002754866,684,200
Python,GraphQL,Simple_Fetch,2.51986900002521,82,200
JS,REST,Complex_Fetch,2.461009000398917,683,200
JS,GraphQL,Complex_Fetch,1.7227270000148565,540,200
Python,REST,Complex_Fetch,3.497380999760935,684,200
Python,GraphQL,Complex_Fetch,58.80733499998314,572,200
JS,REST,Simple_Fetch,3.0167499999151914,2336,200
